"","Community","Site","Year","GS_start","GS_end","data_start","data_end","GS_length","data_days","Site_year","WS_start","WS_end","hour_stress","WPtotal","day_stress","WS_length"
"1","mediterranean","Cañada",2021,2021-07-07,2021-08-27,2021-07-05,2021-08-27,51,53,"Cañada 2021",2021-07-10,2021-08-27,809,11770.594443715,34,48
"2","mediterranean","Cañada",2022,2022-07-08,2022-10-28,2022-07-06,2022-12-31,112,178,"Cañada 2022",2022-07-22,2022-08-11,832,12591.42095795,21,20
"3","mediterranean","Penauta",2021,2021-05-06,2021-10-22,2021-01-01,2021-12-31,169,364,"Penauta 2021",2021-07-20,2021-08-26,778,11386.5904561385,33,37
"4","mediterranean","Penauta",2022,2022-04-17,2022-09-19,2022-01-01,2022-09-19,155,261,"Penauta 2022",2022-07-14,2022-09-13,1869,28816.133987963,52,61
"5","mediterranean","Rabinalto",2021,2021-07-09,2021-10-22,2021-07-07,2021-12-31,105,177,"Rabinalto 2021",2021-07-19,2021-08-28,687,9979.7172243675,29,40
"6","mediterranean","Rabinalto",2022,2022-04-18,2022-10-29,2022-01-01,2022-12-31,194,364,"Rabinalto 2022",2022-07-15,2022-09-06,725,13538.4464133,31,53
"7","mediterranean","Solana",2021,2021-06-27,2021-10-28,2021-06-25,2021-12-31,123,189,"Solana 2021",2021-07-20,2021-08-27,624,9005.51930304,26,38
"8","mediterranean","Solana",2022,2022-04-16,2022-09-19,2022-01-01,2022-09-19,156,261,"Solana 2022",2022-07-18,2022-08-09,1596,23277.347049271,23,22
