"","species","ID","treatment","time","germination.mean","germination.lower","germination.upper","r50"
"61","Dianthus langeanus","C20",-0.4,18,0.54,0.442648603233682,0.634391916909759,0.08
"62","Dianthus langeanus","C20",-0.2,18,0.8,0.711170834406841,0.866633066668967,0.216216216216216
"63","Dianthus langeanus","C20",0,18,0.85,0.767164404091676,0.906940147163434,0.295454545454545
"64","Dianthus langeanus","D00",-1.2,18,0,0,0.0713475991333587,NA
"65","Dianthus langeanus","D00",-1,18,0,0,0.0713475991333587,NA
"66","Dianthus langeanus","D00",-0.8,18,0.01,0.00176743206414065,0.0544861961787053,NA
"67","Dianthus langeanus","D00",-0.6,18,0.17,0.108935661140599,0.255480047676011,NA
"68","Dianthus langeanus","D00",-0.4,18,0.66,0.562777288547246,0.745384792026518,0.0857142857142857
"69","Dianthus langeanus","D00",-0.2,18,0.8,0.711170834406841,0.866633066668967,0.341772151898734
"70","Dianthus langeanus","D00",0,18,0.94,0.875231845541041,0.972213876036812,0.423728813559322
"71","Dianthus langeanus","D11",-1.2,16,0,0,0.0713475991333587,NA
"72","Dianthus langeanus","D11",-1,16,0,0,0.0713475991333587,NA
"73","Dianthus langeanus","D11",-0.8,16,0.05,0.021543679154368,0.111750469231919,NA
"74","Dianthus langeanus","D11",-0.6,16,0.18,0.117002254989463,0.266673583863007,NA
"75","Dianthus langeanus","D11",-0.4,16,0.48,0.384645517580519,0.57683422234776,NA
"76","Dianthus langeanus","D11",-0.2,16,0.71,0.614611088244289,0.789851642508777,0.133333333333333
"77","Dianthus langeanus","D11",0,16,0.83,0.744519952323989,0.891064338859401,0.228571428571429
"78","Dianthus langeanus","D19",-1.2,18,0,0,0.0713475991333587,NA
"79","Dianthus langeanus","D19",-1,18,0,0,0.0713475991333587,NA
"80","Dianthus langeanus","D19",-0.8,18,0.04,0.0156633039915476,0.0983707143588792,NA
"81","Dianthus langeanus","D19",-0.6,18,0.12,0.0699940643701949,0.198120994267114,NA
"82","Dianthus langeanus","D19",-0.4,18,0.54,0.442648603233682,0.634391916909759,0.0689655172413793
"83","Dianthus langeanus","D19",-0.2,18,0.65,0.55254443296888,0.736357517569025,0.1875
"84","Dianthus langeanus","D19",0,18,0.78,0.689296464850142,0.849987176153946,0.272727272727273
